ID_Recurso,Tipo,Ruta_o_URL
VID-LIDERAZGO-01,Video,https://www.youtube.com/watch?v=KQlPxed2GtI
VID-LIDERAZGO-02,Video,https://www.youtube.com/watch?v=g_AYX-7qmxY
VID-LIDERAZGO-03,Video,https://www.ted.com/talks/brene_brown_the_power_of_vulnerability
VID-LIDERAZGO-04,Video,https://youtu.be/EHAbQfcG5Vk
